name,description,privacy,parent
ai-ivp,People working on secure environments,closed,
ai-ivp-bastion-reviewers,ARPA-H Bastion Host Reviewers/Approvers,closed,
cloud-sec,Access to seccloud project,secret,
cloud_dataverse_papers,People working on papers on cloud data verse,closed,
communications,"people who work on communication, the web site, etc.",closed,
CSAIL,Collaboration area between MIT CSAIL and MOC teams,secret,
Engage1,Access to engage1 resources,secret,
esi,Parent for all ESI teams,closed,
esi-core,Core ESI developers,closed,esi
esi-leap-admin,Admins of ESI-Leap,closed,
esi-viewers,Read-only access to ESI repositories,closed,esi
esi-workers,Committers to ESI repositories,closed,esi
external-triage,team to contain people we want to be able to reference using @github_id,closed,
flocx,FLOCX developers,closed,
flocx-owners,FLOCX administrators,closed,flocx
flocx-viewers,FLOCS read-only access,closed,flocx
haas-rw,People with commit access to HaaS,secret,
harbor,Harbor planning,closed,
hil-affil,People who would like to contribute to HaaS development issues. Can include interns and coops.,secret,
macs,MACs persons,secret,
marcomm,A place for folks who are helping with adminiistrative details eg. website,closed,
mghpcc,Access to private invoice data,closed,
MOC HPC,HPC team,closed,
moc-openshift-people,PLEASE ASK NAVED BEFORE ADDING OR REMOVING PEOPLE. Grants access to internal moc-infra cluster,closed,
moc-project-makers,People who can access the moc-openshift-projects repository,closed,
moc-readonly,MOC partners who can review moc private wiki page.,secret,
moc-rw,"rw access to the private moc repository",secret,
moc-website,Triage access to moc-website repository,closed,
moc-website-owners,Admin access to moc-website repository,closed,moc-website
moc-website-workers,Commit access to moc-website repository,closed,moc-website
moca-request-workers,People who handle issues in the moca-requests repository,closed,
monitoring,Access to moc-prometheus repository,closed,
nercdev,NERC Dev team,closed,
NERCPIs,Access to private invoice data,closed,
NSFCloud,Access to nsf-13-602 repository,secret,
OKD,OpenShift on MOC A hw,closed,
Open Source Contributors,Outside contributors to MOC software projects,closed,
ops-collab,People working on operations who aren't part of the core team,closed,
ops-core,Admin access to various MOC repos,closed,
paper_readers,read only access to papers repository,closed,
redhat,redhat team members on the 3 week sprint with MOC-A,closed,
RFI-iarpa,create white paper for IARPA request IARPA-RFI-17-04,secret,
rubicon,Access to ocp-on-power9 repository,closed,
seccloud,Secure Cloud team,secret,
storage-research,LSVD team,closed,
tracing,Access to tracing and profiling repositories,closed,
white paper,Access to nsf-ccc repository,secret,
WP-website,Access to moc-wordpress repository,closed,
writers,Push access to papers repository,secret,
